,GEOID,FP_nearest,FP_tt,FP_tt_3
824,36081084000,90947c3a-d99d-43e6-b36e-56bca5db4a8e,15.26,17.1
825,36081084500,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,6.74,8.66
826,36081084601,85fd2d7c-7431-4800-862d-8c105bbd73fc,15.37,21.5
827,36081084602,2c7ee446-999e-4b01-a5c0-efa04694eda0,19.28,22.47
828,36081084901,299d86f9-dcc4-4575-9706-ccf00e62ba69,11.64,13.98
829,36081084902,299d86f9-dcc4-4575-9706-ccf00e62ba69,6.66,9.76
830,36081085700,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,3.98,4.41
831,36081085900,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,1.27,2.8
832,36081086100,53ff62dc-070e-4a4e-a57c-008ea9c6b70d,2.09,3.65
833,36081086400,dd98c720-3241-4c35-840a-fe92c898ea2f,12.43,17.5
834,36081086500,e1cdbbad-bf87-4574-99a9-c6c6c26a646f,4.45,6.77
835,36081086900,e1cdbbad-bf87-4574-99a9-c6c6c26a646f,6.05,9.06
836,36081087100,e1cdbbad-bf87-4574-99a9-c6c6c26a646f,8.73,11.7
837,36081088902,a42a03b3-a3fd-4865-acf7-a872cd66ced2,2.92,8.27
838,36081088903,a42a03b3-a3fd-4865-acf7-a872cd66ced2,9.38,17.3
839,36081089202,85fd2d7c-7431-4800-862d-8c105bbd73fc,24.63,30.17
840,36081091602,ca940776-d388-4c0d-a2c6-0dec6a7bb4b0,53.27,74.48
841,36081091603,ca940776-d388-4c0d-a2c6-0dec6a7bb4b0,34.24,52.12
842,36081091604,ca940776-d388-4c0d-a2c6-0dec6a7bb4b0,39.32,52.08
843,36081091800,ca940776-d388-4c0d-a2c6-0dec6a7bb4b0,69.88,81.27
844,36081092200,a3425cdc-0c6d-4728-9b57-a6e4b4fe9b9b,61.28,83.14
845,36081092500,53ab97e5-4df1-41f7-9e3b-83790d8b623c,4.12,11.81
