,GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL
275,36005039000,52386,122857,3108,0.5669,0.0763,107246.0,Bronx,15611.0,0
276,36005039100,29154,60075,7082,0.281,0.3383,107246.0,Bronx,-47171.0,1
277,36005039200,54451,94423,1717,0.5334,0.1322,107246.0,Bronx,-12823.0,1
278,36005039300,22569,35491,8690,0.1955,0.3379,107246.0,Bronx,-71755.0,1
279,36005039400,50667,78533,5254,0.5615,0.2243,107246.0,Bronx,-28713.0,1
280,36005039500,25211,80833,4286,0.2331,0.3946,107246.0,Bronx,-26413.0,1
281,36005039600,38923,52035,4522,0.4062,0.1462,107246.0,Bronx,-55211.0,1
282,36005039700,28125,2499,3689,0.1271,0.31,107246.0,Bronx,-104747.0,1
283,36005039800,55433,145689,4209,0.7518,0.1864,107246.0,Bronx,38443.0,0
284,36005039901,36338,57308,5312,0.2108,0.3543,107246.0,Bronx,-49938.0,1
285,36005039902,46174,85625,5570,0.2378,0.2824,107246.0,Bronx,-21621.0,1
286,36005040100,25873,36420,5086,0.2074,0.3698,107246.0,Bronx,-70826.0,1
287,36005040302,37318,48415,5331,0.2971,0.3815,107246.0,Bronx,-58831.0,1
288,36005040303,34773,37593,4216,0.2673,0.2668,107246.0,Bronx,-69653.0,1
289,36005040304,31765,49235,3641,0.181,0.3092,107246.0,Bronx,-58011.0,1
290,36005040400,92431,97176,3264,0.7414,0.0941,107246.0,Bronx,-10070.0,1
291,36005040501,45930,64569,3959,0.2221,0.2711,107246.0,Bronx,-42677.0,1
292,36005040502,38816,51367,7399,0.2488,0.266,107246.0,Bronx,-55879.0,1
293,36005040600,45982,109122,3997,0.5808,0.1566,107246.0,Bronx,1876.0,0
294,36005040701,45363,43389,3136,0.2135,0.2251,107246.0,Bronx,-63857.0,1
295,36005040702,33750,60428,7137,0.3077,0.1997,107246.0,Bronx,-46818.0,1
296,36005040800,34341,63269,4994,0.3771,0.1698,107246.0,Bronx,-43977.0,1
297,36005040900,60278,93430,3272,0.4193,0.0966,107246.0,Bronx,-13816.0,1
298,36005041100,38452,59600,3677,0.261,0.2035,107246.0,Bronx,-47646.0,1
299,36005041300,60646,80179,9110,0.4284,0.2404,107246.0,Bronx,-27067.0,1
300,36005041400,61250,123259,5352,0.6255,0.0809,107246.0,Bronx,16013.0,0
301,36005041500,44707,44068,6089,0.28,0.2355,107246.0,Bronx,-63178.0,1
302,36005041800,67986,69448,3750,0.5745,0.0995,107246.0,Bronx,-37798.0,1
303,36005041900,44444,68888,6229,0.4018,0.2514,107246.0,Bronx,-38358.0,1
304,36005042000,31558,53839,4512,0.3812,0.3494,107246.0,Bronx,-53407.0,1
305,36005042100,48943,54418,5845,0.2858,0.2512,107246.0,Bronx,-52828.0,1
306,36005042200,64181,70221,2873,0.6199,0.071,107246.0,Bronx,-37025.0,1
